id,flight_number,carrier,origin,destination,destination_country,price
1,LU762,Lufthansa,SFO,FCO,Italy,432.54
2,EM625,Emirates,JFK,CDG,France,647.80
3,AM762,American Airlines,ORD,CDG,France,384.96
4,QA924,Qantas,ATL,BER,Germany,595.00
5,EM972,Emirates,DFW,YYZ,Canada,414.60
6,JA409,Japan Airlines,HND,LAX,United States,763.71
7,DE623,Delta Air Lines,DFW,SYD,Australia,829.71
8,QA389,Qantas,ATL,KIX,Japan,655.83
9,BR383,British Airways,DFW,BER,Germany,424.20
10,AI292,Air France,ORD,CUN,Mexico,953.75
11,DE924,Delta Air Lines,CDG,LAX,United States,843.56
12,AM838,American Airlines,JFK,YVR,Canada,1197.34
13,AI528,Air France,DEN,LAX,United States,923.57
14,QA825,Qantas,CDG,FCO,Italy,510.33
15,LU802,Lufthansa,HND,YVR,Canada,1101.85
16,BR619,British Airways,ATL,EDI,United Kingdom,1032.67
17,AI285,Air Canada,ATL,KIX,Japan,644.32
18,AI842,Air France,HND,EDI,United Kingdom,1144.27
19,BR770,British Airways,LAX,VCE,Italy,523.05
20,AI530,Air France,DFW,JFK,United States,423.59
21,AI574,Air France,LAX,YVR,Canada,206.36
22,QA694,Qantas,CDG,HND,Japan,645.83
23,LU612,Lufthansa,LAX,CUN,Mexico,463.27
24,DE991,Delta Air Lines,ORD,LHR,United Kingdom,1191.97
25,BR519,British Airways,CDG,YYZ,Canada,300.39
26,AM897,American Airlines,LAX,YVR,Canada,499.26
27,AM420,American Airlines,JFK,CDG,France,624.66
28,LU879,Lufthansa,ORD,MEL,Australia,952.71
29,JA904,Japan Airlines,LAX,LHR,United Kingdom,795.20
30,EM513,Emirates,DEN,YVR,Canada,552.48
31,DE646,Delta Air Lines,SFO,JFK,United States,1147.57
32,BR875,British Airways,HND,FCO,Italy,168.81
33,DE741,Delta Air Lines,SFO,VCE,Italy,878.20
34,BR419,British Airways,ORD,KIX,Japan,552.73
35,QA413,Qantas,ORD,HND,Japan,1015.04
36,AI397,Air France,LHR,CUN,Mexico,776.19
37,BR544,British Airways,ORD,DXB,United Arab Emirates,1195.95
38,JA467,Japan Airlines,SFO,EDI,United Kingdom,1145.49
39,EM119,Emirates,SFO,VCE,Italy,913.53
40,AM316,American Airlines,JFK,MEL,Australia,679.87
41,UN475,United Airlines,JFK,LAX,United States,1070.37
42,AI889,Air France,HND,NCE,France,773.62
43,DE777,Delta Air Lines,LAX,CDG,France,200.65
44,UN526,United Airlines,LHR,LAX,United States,279.77
45,AI585,Air France,ORD,FCO,Italy,879.95
46,DE408,Delta Air Lines,DEN,KIX,Japan,845.61
47,AI737,Air France,CDG,LHR,United Kingdom,589.77
48,UN623,United Airlines,CDG,KIX,Japan,446.84
49,UN609,United Airlines,SFO,FCO,Italy,966.86
50,AI306,Air Canada,DFW,SFO,United States,460.12
51,DE661,Delta Air Lines,LHR,FCO,Italy,872.61
52,JA438,Japan Airlines,SFO,CDG,France,163.39
53,UN213,United Airlines,CDG,YVR,Canada,306.60
54,UN898,United Airlines,HND,KIX,Japan,1100.02
55,LU567,Lufthansa,ATL,BER,Germany,637.49
56,UN932,United Airlines,ORD,NCE,France,1044.86
57,BR920,British Airways,DFW,SFO,United States,925.47
58,UN971,United Airlines,JFK,CDG,France,1044.60
59,AM436,American Airlines,DFW,YYZ,Canada,1152.84
60,AI999,Air France,LAX,JFK,United States,1005.71
61,AM216,American Airlines,DEN,LAX,United States,1160.43
62,AI955,Air France,DEN,YVR,Canada,989.89
63,AM215,American Airlines,ORD,NCE,France,1180.65
64,AM206,American Airlines,DEN,MEL,Australia,656.81
65,QA794,Qantas,LHR,EDI,United Kingdom,791.89
66,BR726,British Airways,JFK,LHR,United Kingdom,657.23
67,JA215,Japan Airlines,DEN,YYZ,Canada,198.27
68,AI770,Air France,DFW,CDG,France,889.80
69,AI885,Air Canada,CDG,MEL,Australia,385.18
