id,flight_number,carrier,origin,destination,destination_country,price
86,DE268,Delta Air Lines,LHR,SFO,United States,262.31
123,LU870,Lufthansa,CDG,CUN,Mexico,648.60
92,DE666,Delta Air Lines,DEN,MEL,Australia,657.08
110,BR665,British Airways,JFK,CDG,France,930.85
170,BR339,British Airways,JFK,FCO,Italy,693.78
149,AI174,Air Canada,ATL,HND,Japan,413.22
5,EM972,Emirates,DFW,YYZ,Canada,414.60
103,EM927,Emirates,JFK,CUN,Mexico,261.79
16,BR619,British Airways,ATL,EDI,United Kingdom,1032.67
185,QA250,Qantas,JFK,EDI,United Kingdom,421.17
178,AM550,American Airlines,ORD,VCE,Italy,230.94
152,UN298,United Airlines,DFW,YVR,Canada,623.18
115,DE538,Delta Air Lines,ATL,SYD,Australia,427.45
93,AI899,Air Canada,ORD,MEL,Australia,332.33
117,AM140,American Airlines,ORD,DXB,United Arab Emirates,776.72
1,LU762,Lufthansa,SFO,FCO,Italy,432.54
100,AM615,American Airlines,HND,DXB,United Arab Emirates,895.87
119,AI466,Air Canada,LAX,DXB,United Arab Emirates,701.66
67,JA215,Japan Airlines,DEN,YYZ,Canada,198.27
8,QA389,Qantas,ATL,KIX,Japan,655.83
182,JA315,Japan Airlines,CDG,EDI,United Kingdom,829.62
112,BR873,British Airways,CDG,SYD,Australia,925.37
183,EM122,Emirates,SFO,NCE,France,284.28
90,QA226,Qantas,LHR,YYZ,Canada,841.38
145,UN412,United Airlines,SFO,JFK,United States,372.32
50,AI306,Air Canada,DFW,SFO,United States,460.12
129,LU428,Lufthansa,HND,KIX,Japan,325.76
166,LU968,Lufthansa,CDG,EDI,United Kingdom,945.07
135,AI517,Air France,DEN,YYZ,Canada,811.73
62,AI955,Air France,DEN,YVR,Canada,989.89
134,AI671,Air France,LAX,MEL,Australia,1012.70
79,DE670,Delta Air Lines,HND,CDG,France,1017.20
72,AI727,Air Canada,JFK,CDG,France,825.57
196,UN593,United Airlines,ORD,SYD,Australia,1018.90
127,AI125,Air France,HND,JFK,United States,690.02
98,AI747,Air Canada,SFO,FCO,Italy,370.20
56,UN932,United Airlines,ORD,NCE,France,1044.86
15,LU802,Lufthansa,HND,YVR,Canada,1101.85
198,AI539,Air Canada,SFO,YVR,Canada,979.03
173,AI748,Air Canada,ATL,BER,Germany,757.56
57,BR920,British Airways,DFW,SFO,United States,925.47
54,UN898,United Airlines,HND,KIX,Japan,1100.02
63,AM215,American Airlines,ORD,NCE,France,1180.65
19,BR770,British Airways,LAX,VCE,Italy,523.05
148,QA972,Qantas,JFK,SYD,Australia,634.33
18,AI842,Air France,HND,EDI,United Kingdom,1144.27
12,AM838,American Airlines,JFK,YVR,Canada,1197.34
49,UN609,United Airlines,SFO,FCO,Italy,966.86
131,LU985,Lufthansa,DEN,KIX,Japan,365.86
71,LU593,Lufthansa,DFW,LAX,United States,306.09
10,AI292,Air France,ORD,CUN,Mexico,953.75
142,AI402,Air Canada,ORD,MUC,Germany,861.15
13,AI528,Air France,DEN,LAX,United States,923.57
184,QA264,Qantas,ORD,CUN,Mexico,191.15
22,QA694,Qantas,CDG,HND,Japan,645.83
159,AM651,American Airlines,SFO,BER,Germany,920.22
28,LU879,Lufthansa,ORD,MEL,Australia,952.71
64,AM206,American Airlines,DEN,MEL,Australia,656.81
26,AM897,American Airlines,LAX,YVR,Canada,499.26
111,LU735,Lufthansa,LHR,VCE,Italy,1107.06
197,EM634,Emirates,DEN,JFK,United States,1068.57
155,BR352,British Airways,SFO,BER,Germany,1032.12
41,UN475,United Airlines,JFK,LAX,United States,1070.37
172,DE764,Delta Air Lines,DFW,KIX,Japan,888.92
60,AI999,Air France,LAX,JFK,United States,1005.71
7,DE623,Delta Air Lines,DFW,SYD,Australia,829.71
102,EM790,Emirates,HND,MUC,Germany,1071.35
11,DE924,Delta Air Lines,CDG,LAX,United States,843.56
186,AM629,American Airlines,DEN,MEL,Australia,819.50
140,JA490,Japan Airlines,DEN,CDG,France,647.69
181,BR837,British Airways,LAX,YVR,Canada,858.99
153,QA775,Qantas,ATL,MEL,Australia,310.01
200,AM360,American Airlines,LHR,VCE,Italy,1105.59
169,DE324,Delta Air Lines,LHR,VCE,Italy,216.00
163,AI583,Air Canada,ORD,JFK,United States,562.12
136,EM423,Emirates,JFK,LAX,United States,856.96
24,DE991,Delta Air Lines,ORD,LHR,United Kingdom,1191.97
125,JA346,Japan Airlines,CDG,VCE,Italy,1156.84
138,QA146,Qantas,LAX,JFK,United States,1124.45
179,AI316,Air France,ORD,EDI,United Kingdom,315.23
195,QA139,Qantas,HND,CUN,Mexico,940.00
29,JA904,Japan Airlines,LAX,LHR,United Kingdom,795.20
65,QA794,Qantas,LHR,EDI,United Kingdom,791.89
82,JA439,Japan Airlines,HND,YVR,Canada,902.49
150,LU843,Lufthansa,CDG,YVR,Canada,1149.12
80,QA733,Qantas,ATL,CUN,Mexico,740.45
2,EM625,Emirates,JFK,CDG,France,647.80
101,BR675,British Airways,LHR,MEL,Australia,749.17
39,EM119,Emirates,SFO,VCE,Italy,913.53
156,AM795,American Airlines,DFW,YVR,Canada,635.99
48,UN623,United Airlines,CDG,KIX,Japan,446.84
30,EM513,Emirates,DEN,YVR,Canada,552.48
4,QA924,Qantas,ATL,BER,Germany,595.00
55,LU567,Lufthansa,ATL,BER,Germany,637.49
68,AI770,Air France,DFW,CDG,France,889.80
187,AI187,Air France,SFO,YYZ,Canada,786.85
27,AM420,American Airlines,JFK,CDG,France,624.66
154,QA473,Qantas,DFW,SFO,United States,327.07
107,JA204,Japan Airlines,CDG,SYD,Australia,1058.08
61,AM216,American Airlines,DEN,LAX,United States,1160.43
75,AI151,Air France,HND,VCE,Italy,728.02
47,AI737,Air France,CDG,LHR,United Kingdom,589.77
34,BR419,British Airways,ORD,KIX,Japan,552.73
