id,name,city,country,price_per_night,star_rating
37,Vancouver Hilton,Vancouver,Canada,202.13,3
16,Cancun Holiday Inn,Cancun,Mexico,450.04,2
78,Munich Westin,Munich,Germany,405.77,3
51,Rome Four Seasons,Rome,Italy,444.37,4
116,Melbourne Westin,Melbourne,Australia,437.97,3
90,Rome Four Seasons,Rome,Italy,538.72,5
149,San Francisco Sheraton,San Francisco,United States,396.37,3
66,Toronto Marriott,Toronto,Canada,531.49,4
110,Dubai Marriott,Dubai,United Arab Emirates,407.17,2
69,Dubai Holiday Inn,Dubai,United Arab Emirates,449.43,5
108,Rome Westin,Rome,Italy,462.37,2
114,Paris Marriott,Paris,France,493.08,2
26,Edinburgh Four Seasons,Edinburgh,United Kingdom,343.24,2
119,Nice Sheraton,Nice,France,415.18,2
124,Rome Marriott,Rome,Italy,362.68,4
25,Toronto Four Seasons,Toronto,Canada,378.95,4
123,Vancouver Westin,Vancouver,Canada,370.69,5
31,Vancouver Ritz-Carlton,Vancouver,Canada,214.07,5
77,Tokyo Four Seasons,Tokyo,Japan,240.87,3
136,Nice Sheraton,Nice,France,194.78,2
118,Tokyo Sheraton,Tokyo,Japan,564.04,2
122,New York Marriott,New York,United States,210.36,2
74,Osaka Ritz-Carlton,Osaka,Japan,567.13,5
65,Toronto Ritz-Carlton,Toronto,Canada,278.16,4
11,Edinburgh Ritz-Carlton,Edinburgh,United Kingdom,191.52,5
94,San Francisco Hilton,San Francisco,United States,523.81,3
70,Berlin Westin,Berlin,Germany,486.11,4
146,Edinburgh Four Seasons,Edinburgh,United Kingdom,342.44,3
54,Osaka Holiday Inn,Osaka,Japan,498.13,5
60,Osaka Westin,Osaka,Japan,467.19,4
30,Dubai Westin,Dubai,United Arab Emirates,434.43,2
22,Cancun Grand Hyatt,Cancun,Mexico,463.20,2
17,Edinburgh Westin,Edinburgh,United Kingdom,308.27,3
3,Melbourne Ritz-Carlton,Melbourne,Australia,350.28,5
125,Toronto Holiday Inn,Toronto,Canada,531.18,3
144,Sydney Four Seasons,Sydney,Australia,467.98,4
142,Osaka Hilton,Osaka,Japan,356.46,3
6,Berlin Four Seasons,Berlin,Germany,373.63,4
41,Vancouver Sheraton,Vancouver,Canada,402.75,5
13,Tokyo Marriott,Tokyo,Japan,325.27,5
150,Los Angeles Holiday Inn,Los Angeles,United States,267.20,5
46,Toronto Ritz-Carlton,Toronto,Canada,443.09,5
29,Toronto Four Seasons,Toronto,Canada,372.85,3
105,Sydney Westin,Sydney,Australia,174.43,4
80,Dubai Westin,Dubai,United Arab Emirates,322.94,4
50,Dubai Sheraton,Dubai,United Arab Emirates,175.64,5
5,London Four Seasons,London,United Kingdom,418.82,4
61,New York Sheraton,New York,United States,371.38,4
81,Sydney Westin,Sydney,Australia,150.26,3
9,Berlin Holiday Inn,Berlin,Germany,380.38,5
147,Sydney Westin,Sydney,Australia,565.43,4
121,Toronto Hilton,Toronto,Canada,91.10,5
99,Munich Holiday Inn,Munich,Germany,145.02,5
104,Nice Holiday Inn,Nice,France,483.34,2
141,Tokyo Hilton,Tokyo,Japan,579.51,2
75,Sydney Grand Hyatt,Sydney,Australia,93.71,5
127,Sydney Sheraton,Sydney,Australia,316.12,5
24,New York Holiday Inn,New York,United States,197.67,3
28,Cancun Holiday Inn,Cancun,Mexico,535.58,4
115,Los Angeles Hilton,Los Angeles,United States,84.64,2
19,Edinburgh Grand Hyatt,Edinburgh,United Kingdom,267.06,2
18,Cancun Holiday Inn,Cancun,Mexico,181.27,3
106,Los Angeles Grand Hyatt,Los Angeles,United States,143.42,3
89,Munich Hilton,Munich,Germany,494.32,4
138,Toronto Grand Hyatt,Toronto,Canada,267.68,5
53,Melbourne Marriott,Melbourne,Australia,589.22,3
91,Los Angeles Hilton,Los Angeles,United States,164.90,5
130,Rome Westin,Rome,Italy,478.18,3
52,New York Four Seasons,New York,United States,225.41,3
135,Nice Four Seasons,Nice,France,422.12,4
4,Rome Sheraton,Rome,Italy,292.60,2
58,Berlin Grand Hyatt,Berlin,Germany,287.17,3
23,Tokyo Holiday Inn,Tokyo,Japan,457.59,4
49,Edinburgh Holiday Inn,Edinburgh,United Kingdom,203.31,5
40,Tokyo Westin,Tokyo,Japan,399.19,2
84,Sydney Hilton,Sydney,Australia,498.45,5
47,Dubai Grand Hyatt,Dubai,United Arab Emirates,86.15,3
97,Rome Sheraton,Rome,Italy,90.09,2
76,Cancun Ritz-Carlton,Cancun,Mexico,134.04,3
48,Los Angeles Ritz-Carlton,Los Angeles,United States,249.23,4
117,New York Ritz-Carlton,New York,United States,209.34,5
134,Rome Ritz-Carlton,Rome,Italy,332.39,2
88,Vancouver Westin,Vancouver,Canada,235.80,5
15,Tokyo Grand Hyatt,Tokyo,Japan,456.74,5
62,New York Grand Hyatt,New York,United States,294.12,4
1,Tokyo Holiday Inn,Tokyo,Japan,391.11,5
101,Vancouver Hilton,Vancouver,Canada,257.79,4
43,Los Angeles Hilton,Los Angeles,United States,470.09,3
96,Toronto Holiday Inn,Toronto,Canada,444.25,5
86,Munich Grand Hyatt,Munich,Germany,80.05,3
64,New York Sheraton,New York,United States,430.06,5
132,Osaka Ritz-Carlton,Osaka,Japan,352.06,2
93,Venice Holiday Inn,Venice,Italy,228.03,4
59,Nice Hilton,Nice,France,503.19,5
72,Paris Marriott,Paris,France,458.44,4
137,Paris Hilton,Paris,France,420.99,2
14,Tokyo Ritz-Carlton,Tokyo,Japan,216.81,4
63,Rome Marriott,Rome,Italy,589.27,4
