id,name,city,country,price_per_night,star_rating
1,Tokyo Holiday Inn,Tokyo,Japan,391.11,5
2,Berlin Hilton,Berlin,Germany,82.84,2
3,Melbourne Ritz-Carlton,Melbourne,Australia,350.28,5
4,Rome Sheraton,Rome,Italy,292.60,2
5,London Four Seasons,London,United Kingdom,418.82,4
6,Berlin Four Seasons,Berlin,Germany,373.63,4
7,Los Angeles Hilton,Los Angeles,United States,294.88,5
8,Edinburgh Sheraton,Edinburgh,United Kingdom,370.73,5
9,Berlin Holiday Inn,Berlin,Germany,380.38,5
10,London Ritz-Carlton,London,United Kingdom,468.86,5
11,Edinburgh Ritz-Carlton,Edinburgh,United Kingdom,191.52,5
12,Dubai Grand Hyatt,Dubai,United Arab Emirates,163.58,2
13,Tokyo Marriott,Tokyo,Japan,325.27,5
14,Tokyo Ritz-Carlton,Tokyo,Japan,216.81,4
15,Tokyo Grand Hyatt,Tokyo,Japan,456.74,5
16,Cancun Holiday Inn,Cancun,Mexico,450.04,2
17,Edinburgh Westin,Edinburgh,United Kingdom,308.27,3
18,Cancun Holiday Inn,Cancun,Mexico,181.27,3
19,Edinburgh Grand Hyatt,Edinburgh,United Kingdom,267.06,2
20,Edinburgh Ritz-Carlton,Edinburgh,United Kingdom,598.34,5
21,New York Four Seasons,New York,United States,290.83,3
22,Cancun Grand Hyatt,Cancun,Mexico,463.20,2
23,Tokyo Holiday Inn,Tokyo,Japan,457.59,4
24,New York Holiday Inn,New York,United States,197.67,3
25,Toronto Four Seasons,Toronto,Canada,378.95,4
26,Edinburgh Four Seasons,Edinburgh,United Kingdom,343.24,2
27,Cancun Holiday Inn,Cancun,Mexico,256.78,2
28,Cancun Holiday Inn,Cancun,Mexico,535.58,4
29,Toronto Four Seasons,Toronto,Canada,372.85,3
30,Dubai Westin,Dubai,United Arab Emirates,434.43,2
31,Vancouver Ritz-Carlton,Vancouver,Canada,214.07,5
32,Venice Hilton,Venice,Italy,496.08,5
33,New York Grand Hyatt,New York,United States,444.43,4
34,Venice Holiday Inn,Venice,Italy,128.36,4
35,Tokyo Marriott,Tokyo,Japan,327.81,4
36,Rome Holiday Inn,Rome,Italy,175.05,3
37,Vancouver Hilton,Vancouver,Canada,202.13,3
38,Berlin Hilton,Berlin,Germany,199.19,3
39,New York Marriott,New York,United States,485.05,2
40,Tokyo Westin,Tokyo,Japan,399.19,2
41,Vancouver Sheraton,Vancouver,Canada,402.75,5
42,Melbourne Holiday Inn,Melbourne,Australia,335.22,4
43,Los Angeles Hilton,Los Angeles,United States,470.09,3
44,Nice Four Seasons,Nice,France,328.73,2
45,Cancun Sheraton,Cancun,Mexico,284.73,3
46,Toronto Ritz-Carlton,Toronto,Canada,443.09,5
47,Dubai Grand Hyatt,Dubai,United Arab Emirates,86.15,3
48,Los Angeles Ritz-Carlton,Los Angeles,United States,249.23,4
49,Edinburgh Holiday Inn,Edinburgh,United Kingdom,203.31,5
50,Dubai Sheraton,Dubai,United Arab Emirates,175.64,5
51,Rome Four Seasons,Rome,Italy,444.37,4
52,New York Four Seasons,New York,United States,225.41,3
53,Melbourne Marriott,Melbourne,Australia,589.22,3
54,Osaka Holiday Inn,Osaka,Japan,498.13,5
55,Los Angeles Hilton,Los Angeles,United States,155.84,3
56,Vancouver Grand Hyatt,Vancouver,Canada,171.84,5
57,London Sheraton,London,United Kingdom,488.37,4
58,Berlin Grand Hyatt,Berlin,Germany,287.17,3
59,Nice Hilton,Nice,France,503.19,5
60,Osaka Westin,Osaka,Japan,467.19,4
61,New York Sheraton,New York,United States,371.38,4
62,New York Grand Hyatt,New York,United States,294.12,4
63,Rome Marriott,Rome,Italy,589.27,4
64,New York Sheraton,New York,United States,430.06,5
65,Toronto Ritz-Carlton,Toronto,Canada,278.16,4
66,Toronto Marriott,Toronto,Canada,531.49,4
67,San Francisco Four Seasons,San Francisco,United States,521.43,2
68,Tokyo Marriott,Tokyo,Japan,258.69,4
69,Dubai Holiday Inn,Dubai,United Arab Emirates,449.43,5
70,Berlin Westin,Berlin,Germany,486.11,4
71,Melbourne Westin,Melbourne,Australia,295.27,3
72,Paris Marriott,Paris,France,458.44,4
73,Tokyo Hilton,Tokyo,Japan,166.79,2
74,Osaka Ritz-Carlton,Osaka,Japan,567.13,5
75,Sydney Grand Hyatt,Sydney,Australia,93.71,5
76,Cancun Ritz-Carlton,Cancun,Mexico,134.04,3
77,Tokyo Four Seasons,Tokyo,Japan,240.87,3
78,Munich Westin,Munich,Germany,405.77,3
79,Cancun Marriott,Cancun,Mexico,94.86,4
80,Dubai Westin,Dubai,United Arab Emirates,322.94,4
81,Sydney Westin,Sydney,Australia,150.26,3
82,Melbourne Westin,Melbourne,Australia,408.14,5
83,Cancun Holiday Inn,Cancun,Mexico,552.64,5
84,Sydney Hilton,Sydney,Australia,498.45,5
85,Munich Sheraton,Munich,Germany,294.35,3
86,Munich Grand Hyatt,Munich,Germany,80.05,3
87,New York Holiday Inn,New York,United States,323.98,2
88,Vancouver Westin,Vancouver,Canada,235.80,5
89,Munich Hilton,Munich,Germany,494.32,4
90,Rome Four Seasons,Rome,Italy,538.72,5
91,Los Angeles Hilton,Los Angeles,United States,164.90,5
92,Los Angeles Hilton,Los Angeles,United States,216.75,5
93,Venice Holiday Inn,Venice,Italy,228.03,4
94,San Francisco Hilton,San Francisco,United States,523.81,3
95,London Holiday Inn,London,United Kingdom,137.39,5
96,Toronto Holiday Inn,Toronto,Canada,444.25,5
97,Rome Sheraton,Rome,Italy,90.09,2
98,Sydney Grand Hyatt,Sydney,Australia,176.69,2
99,Munich Holiday Inn,Munich,Germany,145.02,5
100,Paris Hilton,Paris,France,126.90,2
101,Vancouver Hilton,Vancouver,Canada,257.79,4
102,Vancouver Sheraton,Vancouver,Canada,321.12,2
103,Dubai Ritz-Carlton,Dubai,United Arab Emirates,518.64,3
104,Nice Holiday Inn,Nice,France,483.34,2
105,Sydney Westin,Sydney,Australia,174.43,4
106,Los Angeles Grand Hyatt,Los Angeles,United States,143.42,3
107,Los Angeles Westin,Los Angeles,United States,208.52,2
108,Rome Westin,Rome,Italy,462.37,2
109,Cancun Hilton,Cancun,Mexico,325.87,4
110,Dubai Marriott,Dubai,United Arab Emirates,407.17,2
111,Sydney Ritz-Carlton,Sydney,Australia,211.72,4
112,Rome Sheraton,Rome,Italy,541.51,3
113,Osaka Hilton,Osaka,Japan,409.11,4
114,Paris Marriott,Paris,France,493.08,2
115,Los Angeles Hilton,Los Angeles,United States,84.64,2
116,Melbourne Westin,Melbourne,Australia,437.97,3
117,New York Ritz-Carlton,New York,United States,209.34,5
118,Tokyo Sheraton,Tokyo,Japan,564.04,2
119,Nice Sheraton,Nice,France,415.18,2
120,London Westin,London,United Kingdom,200.99,4
121,Toronto Hilton,Toronto,Canada,91.10,5
122,New York Marriott,New York,United States,210.36,2
123,Vancouver Westin,Vancouver,Canada,370.69,5
124,Rome Marriott,Rome,Italy,362.68,4
125,Toronto Holiday Inn,Toronto,Canada,531.18,3
126,Tokyo Marriott,Tokyo,Japan,313.68,4
127,Sydney Sheraton,Sydney,Australia,316.12,5
128,Edinburgh Grand Hyatt,Edinburgh,United Kingdom,402.26,4
129,Venice Sheraton,Venice,Italy,454.92,5
130,Rome Westin,Rome,Italy,478.18,3
131,Munich Sheraton,Munich,Germany,293.10,4
132,Osaka Ritz-Carlton,Osaka,Japan,352.06,2
133,Nice Marriott,Nice,France,172.89,2
134,Rome Ritz-Carlton,Rome,Italy,332.39,2
135,Nice Four Seasons,Nice,France,422.12,4
136,Nice Sheraton,Nice,France,194.78,2
137,Paris Hilton,Paris,France,420.99,2
138,Toronto Grand Hyatt,Toronto,Canada,267.68,5
139,New York Grand Hyatt,New York,United States,508.29,4
140,Cancun Grand Hyatt,Cancun,Mexico,461.84,4
141,Tokyo Hilton,Tokyo,Japan,579.51,2
142,Osaka Hilton,Osaka,Japan,356.46,3
143,Rome Hilton,Rome,Italy,376.41,3
144,Sydney Four Seasons,Sydney,Australia,467.98,4
145,Toronto Four Seasons,Toronto,Canada,539.07,3
146,Edinburgh Four Seasons,Edinburgh,United Kingdom,342.44,3
147,Sydney Westin,Sydney,Australia,565.43,4
148,Sydney Sheraton,Sydney,Australia,519.32,5
149,San Francisco Sheraton,San Francisco,United States,396.37,3
150,Los Angeles Holiday Inn,Los Angeles,United States,267.20,5
