membership_tier,destination_country,booking_count,total_revenue,avg_booking_value
none,Canada,321,369694.87,1151.6974143302180685
none,Mexico,165,214565.73,1300.3983636363636364
silver,Mexico,42,48913.68,1164.6114285714285714
bronze,United Kingdom,109,125535.67,1151.7033944954128440
gold,Australia,56,77138.25,1377.4687500000000000
none,Australia,266,371617.73,1397.0591353383458647
bronze,Germany,88,114629.16,1302.6040909090909091
gold,France,48,55047.39,1146.8206250000000000
bronze,Canada,147,173635.15,1181.1914965986394558
silver,United Kingdom,78,95369.60,1222.6871794871794872
none,United Kingdom,257,327189.13,1273.1094552529182879
gold,United Kingdom,60,94312.66,1571.8776666666666667
none,United Arab Emirates,120,168168.98,1401.4081666666666667
gold,United Arab Emirates,29,31130.62,1073.4696551724137931
gold,Canada,77,122876.72,1595.8015584415584416
silver,Australia,83,102637.15,1236.5921686746987952
bronze,Mexico,96,151405.99,1577.1457291666666667
gold,Germany,34,35775.51,1052.2208823529411765
silver,France,69,75768.36,1098.0921739130434783
gold,United States,85,111538.15,1312.2135294117647059
none,France,242,336670.95,1391.2022727272727273
silver,Italy,63,92823.96,1473.3961904761904762
none,Japan,336,434797.59,1294.0404464285714286
none,United States,409,508578.12,1243.4672860635696822
silver,Germany,51,66929.10,1312.3352941176470588
silver,Japan,96,134388.30,1399.8781250000000000
silver,Canada,103,128814.18,1250.6231067961165049
silver,United Arab Emirates,36,43127.04,1197.9733333333333333
none,Italy,262,341019.94,1301.6028244274809160
bronze,United States,194,239871.07,1236.4488144329896907
bronze,Japan,154,200495.35,1301.9178571428571429
silver,United States,119,136628.29,1148.1368907563025210
gold,Italy,50,71693.92,1433.8784000000000000
bronze,Australia,141,183003.86,1297.8997163120567376
none,Germany,160,196074.06,1225.4628750000000000
bronze,France,110,126385.21,1148.9564545454545455
gold,Japan,69,94388.54,1367.9498550724637681
gold,Mexico,34,40006.93,1176.6744117647058824
bronze,Italy,88,109549.42,1244.8797727272727273
bronze,United Arab Emirates,53,62408.18,1177.5128301886792453
