id,customer_id,vehicle_id,order_date,total_price,payment_status,delivery_status
1,835,10,2025-08-25 08:00:00,84990.00,Pending,Scheduled
2,769,2,2025-05-13 06:00:00,96490.00,Paid,Delivered
3,929,3,2025-11-18 09:00:00,38990.00,Paid,Scheduled
4,1194,7,2026-01-26 21:00:00,101490.00,Paid,Delivered
5,349,4,2025-08-15 05:00:00,47740.00,Paid,Scheduled
6,403,8,2025-08-16 15:00:00,47990.00,Paid,Scheduled
7,65,9,2025-06-29 05:00:00,57490.00,Paid,In Transit
8,466,10,2025-05-18 15:00:00,81990.00,Refunded,In Transit
9,765,1,2025-12-19 00:00:00,81490.00,Refunded,Scheduled
10,78,7,2025-07-09 10:00:00,101490.00,Pending,Scheduled
11,509,7,2025-11-09 08:00:00,99990.00,Paid,Delivered
12,925,11,2025-05-06 22:00:00,104990.00,Paid,Scheduled
13,597,7,2025-11-24 08:00:00,101490.00,Paid,Delivered
14,312,1,2026-02-03 09:00:00,81490.00,Paid,In Transit
15,154,3,2025-10-21 09:00:00,40990.00,Paid,Delivered
16,162,9,2025-10-16 15:00:00,54490.00,Paid,Delivered
17,873,2,2025-11-27 03:00:00,91990.00,Paid,Delivered
18,551,5,2025-06-06 09:00:00,56990.00,Paid,Delivered
19,1170,8,2025-05-25 10:00:00,47990.00,Paid,In Transit
20,205,7,2025-11-23 21:00:00,101490.00,Refunded,Delivered
21,287,6,2025-08-17 03:00:00,86490.00,Pending,Scheduled
22,320,8,2026-02-15 10:00:00,49990.00,Pending,Scheduled
23,408,6,2025-03-07 01:00:00,84990.00,Refunded,Delivered
24,835,1,2025-09-01 23:00:00,74990.00,Paid,In Transit
25,2,11,2026-03-15 05:00:00,101990.00,Refunded,Scheduled
26,460,6,2025-12-04 18:00:00,86490.00,Paid,In Transit
27,360,11,2025-05-07 03:00:00,106490.00,Paid,Scheduled
28,386,10,2025-12-21 18:00:00,81990.00,Paid,Delivered
29,520,2,2025-11-16 16:00:00,94990.00,Paid,Scheduled
30,546,3,2026-03-23 00:00:00,38990.00,Paid,In Transit
31,1133,3,2026-03-06 00:00:00,43990.00,Paid,Delivered
32,522,9,2026-01-22 22:00:00,54490.00,Paid,Delivered
33,790,10,2025-12-12 00:00:00,81990.00,Paid,In Transit
34,526,6,2025-03-01 15:00:00,86490.00,Paid,Delivered
35,584,6,2026-04-14 21:00:00,86490.00,Paid,Delivered
36,451,5,2025-08-25 14:00:00,56990.00,Paid,Scheduled
37,196,11,2025-12-05 08:00:00,99990.00,Paid,Delivered
38,437,6,2025-09-21 23:00:00,86490.00,Paid,Delivered
39,104,8,2025-08-12 11:00:00,52990.00,Pending,Scheduled
40,1117,6,2025-07-16 10:00:00,81990.00,Paid,In Transit
41,505,2,2026-04-19 07:00:00,96490.00,Pending,Scheduled
42,872,5,2025-10-04 10:00:00,59990.00,Refunded,Delivered
43,1054,7,2025-10-06 17:00:00,96990.00,Paid,Delivered
44,504,4,2026-02-08 09:00:00,49740.00,Paid,Scheduled
45,456,1,2025-10-12 06:00:00,74990.00,Pending,Scheduled
46,775,1,2026-04-11 22:00:00,79990.00,Paid,Scheduled
47,1123,3,2025-10-05 20:00:00,40990.00,Pending,Scheduled
48,1023,7,2025-08-24 06:00:00,94990.00,Pending,Scheduled
49,42,4,2025-07-12 04:00:00,54240.00,Refunded,Scheduled
50,810,7,2025-10-11 22:00:00,94990.00,Paid,Delivered
51,719,11,2025-09-26 02:00:00,106490.00,Refunded,Scheduled
52,110,1,2025-10-28 03:00:00,74990.00,Paid,Delivered
53,1122,6,2025-03-22 04:00:00,86490.00,Paid,Delivered
54,832,10,2025-11-12 01:00:00,81990.00,Paid,Scheduled
55,233,2,2025-09-14 00:00:00,96490.00,Refunded,Delivered
56,1199,9,2025-03-01 11:00:00,52490.00,Paid,Scheduled
57,1068,4,2025-09-27 04:00:00,47740.00,Paid,Delivered
58,387,7,2025-02-18 11:00:00,99990.00,Pending,Scheduled
59,961,9,2025-06-02 23:00:00,52490.00,Pending,Scheduled
