id,vehicle_id,assembly_stage,cycle_time_mins,defect_detected,recorded_at
1,7,Final Assembly,115,false,2025-02-10 00:00:00
2,10,Battery Integration,25,false,2025-07-31 00:00:00
3,1,Stamping,101,false,2025-02-01 00:00:00
4,3,Quality Inspection,67,false,2025-05-12 00:00:00
5,8,Final Assembly,43,false,2025-12-14 00:00:00
6,8,Quality Inspection,115,false,2025-02-21 00:00:00
7,4,Stamping,101,false,2025-04-15 00:00:00
8,5,Painting,25,false,2026-02-13 00:00:00
9,2,Painting,89,false,2025-10-26 00:00:00
10,7,Painting,42,false,2025-06-09 00:00:00
11,6,Quality Inspection,47,false,2026-01-12 00:00:00
12,3,Drive Unit Install,53,false,2025-08-05 00:00:00
13,11,Quality Inspection,43,false,2026-02-06 00:00:00
14,7,Battery Integration,99,false,2025-02-18 00:00:00
15,11,Drive Unit Install,37,false,2025-05-10 00:00:00
16,9,Final Assembly,22,false,2025-12-13 00:00:00
17,11,Painting,22,false,2025-12-08 00:00:00
18,9,Final Assembly,45,false,2025-01-24 00:00:00
19,6,Drive Unit Install,76,false,2025-12-23 00:00:00
20,6,Stamping,92,false,2025-10-26 00:00:00
21,2,Welding,46,false,2026-01-15 00:00:00
22,11,Welding,91,false,2026-04-06 00:00:00
23,5,Painting,67,false,2025-04-27 00:00:00
24,10,Quality Inspection,80,false,2025-06-04 00:00:00
25,11,Welding,74,false,2026-01-26 00:00:00
26,6,Drive Unit Install,29,false,2025-12-05 00:00:00
27,1,Quality Inspection,114,false,2026-02-04 00:00:00
28,11,Quality Inspection,26,false,2026-02-06 00:00:00
29,9,Final Assembly,97,false,2025-07-26 00:00:00
30,9,Battery Integration,31,false,2025-06-10 00:00:00
31,5,Stamping,60,false,2025-05-15 00:00:00
32,7,Painting,52,false,2025-09-14 00:00:00
33,11,Quality Inspection,111,false,2026-02-24 00:00:00
34,1,Final Assembly,50,false,2025-10-06 00:00:00
35,4,Final Assembly,101,false,2025-08-21 00:00:00
36,10,Welding,39,false,2025-04-27 00:00:00
37,7,Stamping,83,false,2026-03-11 00:00:00
38,1,Welding,22,false,2025-12-19 00:00:00
39,7,Stamping,56,false,2025-07-28 00:00:00
40,7,Welding,61,false,2026-04-02 00:00:00
41,10,Welding,33,false,2025-03-23 00:00:00
42,2,Battery Integration,102,false,2025-03-20 00:00:00
43,5,Drive Unit Install,22,false,2025-12-16 00:00:00
44,7,Painting,74,false,2025-05-04 00:00:00
45,6,Welding,120,false,2025-03-11 00:00:00
46,9,Drive Unit Install,80,false,2025-10-25 00:00:00
47,3,Stamping,19,false,2026-01-11 00:00:00
48,3,Battery Integration,84,false,2025-05-12 00:00:00
49,5,Drive Unit Install,63,false,2025-12-25 00:00:00
50,10,Final Assembly,78,false,2025-05-11 00:00:00
51,3,Stamping,102,false,2025-08-08 00:00:00
52,2,Battery Integration,35,false,2025-01-16 00:00:00
53,10,Drive Unit Install,84,false,2025-01-03 00:00:00
54,3,Welding,71,false,2025-08-17 00:00:00
55,8,Painting,45,false,2025-05-30 00:00:00
56,10,Quality Inspection,76,false,2025-07-15 00:00:00
57,6,Drive Unit Install,28,false,2025-08-22 00:00:00
58,7,Drive Unit Install,113,false,2025-07-05 00:00:00
59,3,Battery Integration,20,false,2026-01-31 00:00:00
60,6,Drive Unit Install,114,false,2025-07-17 00:00:00
61,6,Quality Inspection,65,false,2025-08-15 00:00:00
62,2,Painting,110,false,2025-10-10 00:00:00
63,3,Final Assembly,50,false,2025-02-23 00:00:00
64,6,Battery Integration,66,false,2025-08-21 00:00:00
65,7,Drive Unit Install,46,false,2026-01-25 00:00:00
66,1,Battery Integration,31,false,2025-01-22 00:00:00
67,5,Final Assembly,70,false,2025-06-07 00:00:00
68,8,Drive Unit Install,78,false,2025-06-26 00:00:00
69,3,Drive Unit Install,65,false,2025-07-03 00:00:00
70,7,Stamping,95,false,2025-12-28 00:00:00
71,2,Welding,86,true,2026-01-12 00:00:00
72,4,Drive Unit Install,25,false,2025-11-22 00:00:00
73,8,Welding,102,false,2025-06-05 00:00:00
74,8,Final Assembly,90,false,2025-10-15 00:00:00
75,4,Quality Inspection,97,false,2025-08-20 00:00:00
76,2,Battery Integration,91,false,2026-03-25 00:00:00
77,7,Quality Inspection,74,false,2025-09-05 00:00:00
78,7,Stamping,49,false,2025-02-22 00:00:00
79,10,Painting,102,false,2026-03-12 00:00:00
80,3,Welding,36,false,2025-06-27 00:00:00
81,1,Welding,88,false,2025-07-24 00:00:00
82,11,Stamping,62,false,2026-04-11 00:00:00
83,2,Drive Unit Install,45,false,2025-08-23 00:00:00
84,10,Drive Unit Install,46,false,2025-03-26 00:00:00
85,11,Drive Unit Install,77,false,2026-01-11 00:00:00
86,7,Stamping,89,false,2025-11-07 00:00:00
87,10,Battery Integration,119,false,2026-01-03 00:00:00
88,3,Battery Integration,118,false,2025-06-08 00:00:00
89,2,Final Assembly,103,false,2025-07-24 00:00:00
90,7,Painting,45,false,2025-02-23 00:00:00
91,10,Drive Unit Install,101,true,2025-10-17 00:00:00
92,9,Final Assembly,35,false,2025-01-23 00:00:00
93,10,Painting,90,false,2026-02-26 00:00:00
94,1,Drive Unit Install,92,false,2025-08-29 00:00:00
95,4,Final Assembly,117,false,2025-09-05 00:00:00
96,4,Battery Integration,21,false,2025-08-22 00:00:00
97,5,Painting,107,false,2026-02-15 00:00:00
98,2,Battery Integration,100,false,2026-01-29 00:00:00
99,4,Battery Integration,20,false,2026-02-11 00:00:00
100,10,Final Assembly,95,true,2025-04-14 00:00:00
101,6,Stamping,39,false,2026-02-12 00:00:00
102,6,Battery Integration,31,false,2026-02-12 00:00:00
103,4,Painting,100,false,2025-01-14 00:00:00
104,5,Welding,68,false,2025-12-20 00:00:00
105,9,Battery Integration,30,false,2025-10-28 00:00:00
106,9,Stamping,120,false,2025-09-06 00:00:00
107,1,Battery Integration,66,false,2025-01-31 00:00:00
108,11,Welding,29,false,2026-03-27 00:00:00
109,4,Battery Integration,119,false,2026-03-10 00:00:00
110,11,Quality Inspection,98,false,2025-04-09 00:00:00
111,2,Quality Inspection,102,false,2025-10-01 00:00:00
112,2,Painting,74,false,2025-06-30 00:00:00
113,11,Stamping,97,false,2025-10-30 00:00:00
114,9,Final Assembly,21,false,2025-11-19 00:00:00
115,3,Final Assembly,84,false,2025-08-05 00:00:00
116,8,Welding,47,false,2026-03-23 00:00:00
117,11,Final Assembly,64,false,2026-02-24 00:00:00
118,11,Final Assembly,32,false,2025-05-27 00:00:00
119,2,Final Assembly,37,false,2025-03-16 00:00:00
120,8,Battery Integration,31,false,2025-05-09 00:00:00
121,10,Final Assembly,76,false,2025-08-03 00:00:00
122,5,Drive Unit Install,84,false,2026-04-20 00:00:00
123,5,Final Assembly,64,false,2025-09-26 00:00:00
124,2,Quality Inspection,49,false,2025-06-02 00:00:00
125,3,Final Assembly,103,false,2025-12-26 00:00:00
126,11,Quality Inspection,54,false,2026-02-19 00:00:00
127,11,Quality Inspection,55,false,2025-12-11 00:00:00
128,4,Welding,51,false,2025-11-25 00:00:00
129,7,Painting,86,false,2026-03-19 00:00:00
130,1,Final Assembly,86,false,2025-01-02 00:00:00
131,4,Painting,18,false,2026-04-03 00:00:00
132,7,Final Assembly,21,false,2025-04-03 00:00:00
133,2,Battery Integration,35,false,2025-02-09 00:00:00
134,6,Welding,92,false,2026-03-09 00:00:00
135,3,Final Assembly,47,false,2025-11-26 00:00:00
136,4,Final Assembly,52,false,2025-05-15 00:00:00
137,4,Quality Inspection,65,false,2025-08-22 00:00:00
138,9,Welding,53,false,2025-07-07 00:00:00
139,9,Stamping,42,false,2025-10-22 00:00:00
140,10,Painting,83,false,2025-07-23 00:00:00
141,5,Battery Integration,41,false,2025-02-07 00:00:00
142,2,Final Assembly,54,false,2025-11-03 00:00:00
143,1,Final Assembly,47,false,2026-04-14 00:00:00
144,5,Drive Unit Install,73,false,2026-04-10 00:00:00
145,6,Painting,119,false,2025-10-06 00:00:00
146,9,Stamping,52,false,2025-01-03 00:00:00
147,6,Painting,117,false,2025-03-22 00:00:00
148,5,Quality Inspection,35,false,2025-02-19 00:00:00
149,6,Final Assembly,77,false,2025-09-15 00:00:00
150,2,Quality Inspection,27,false,2025-09-16 00:00:00
151,7,Drive Unit Install,22,false,2025-08-15 00:00:00
152,6,Drive Unit Install,34,false,2025-01-01 00:00:00
153,3,Stamping,59,false,2025-06-20 00:00:00
154,1,Battery Integration,77,false,2025-03-09 00:00:00
155,6,Stamping,95,false,2026-04-07 00:00:00
156,2,Painting,34,false,2025-01-13 00:00:00
157,7,Final Assembly,42,false,2025-04-02 00:00:00
158,3,Quality Inspection,75,false,2026-03-08 00:00:00
159,6,Stamping,83,false,2025-04-16 00:00:00
160,1,Welding,111,false,2026-03-23 00:00:00
161,5,Stamping,57,false,2025-08-13 00:00:00
162,8,Drive Unit Install,89,false,2025-10-12 00:00:00
163,1,Final Assembly,95,false,2025-05-04 00:00:00
164,11,Battery Integration,47,false,2026-04-04 00:00:00
165,6,Welding,82,false,2025-09-27 00:00:00
166,10,Welding,55,true,2025-01-06 00:00:00
167,8,Welding,83,false,2025-10-27 00:00:00
168,2,Painting,89,false,2025-11-30 00:00:00
169,11,Quality Inspection,106,false,2026-04-11 00:00:00
170,3,Stamping,63,false,2025-12-23 00:00:00
171,9,Quality Inspection,72,false,2025-06-16 00:00:00
172,11,Quality Inspection,75,false,2025-07-15 00:00:00
173,8,Welding,45,false,2025-09-05 00:00:00
174,11,Final Assembly,84,false,2025-03-31 00:00:00
175,5,Welding,117,false,2025-05-09 00:00:00
176,4,Final Assembly,68,false,2025-05-31 00:00:00
177,9,Final Assembly,86,false,2025-03-11 00:00:00
178,5,Quality Inspection,109,false,2025-02-18 00:00:00
179,5,Welding,45,false,2026-02-19 00:00:00
180,9,Welding,87,false,2025-11-27 00:00:00
181,8,Stamping,104,false,2025-05-09 00:00:00
182,6,Drive Unit Install,107,false,2026-01-14 00:00:00
183,2,Stamping,101,false,2026-03-15 00:00:00
184,2,Drive Unit Install,21,false,2025-11-30 00:00:00
185,11,Quality Inspection,110,false,2025-07-12 00:00:00
186,4,Quality Inspection,33,false,2025-01-23 00:00:00
187,7,Battery Integration,61,false,2025-12-11 00:00:00
188,1,Final Assembly,113,false,2026-01-30 00:00:00
189,8,Welding,18,false,2026-04-02 00:00:00
190,1,Stamping,51,false,2025-03-27 00:00:00
191,11,Drive Unit Install,54,false,2025-03-03 00:00:00
192,4,Stamping,62,false,2025-04-30 00:00:00
193,2,Painting,36,false,2025-05-04 00:00:00
194,5,Drive Unit Install,69,false,2025-06-12 00:00:00
195,2,Battery Integration,98,false,2025-04-15 00:00:00
196,11,Welding,53,false,2025-08-21 00:00:00
197,4,Quality Inspection,51,false,2025-07-16 00:00:00
198,6,Stamping,46,false,2025-03-02 00:00:00
199,2,Quality Inspection,57,false,2025-04-25 00:00:00
200,4,Quality Inspection,23,false,2025-09-25 00:00:00
201,1,Quality Inspection,93,false,2026-03-09 00:00:00
202,9,Stamping,44,false,2026-04-01 00:00:00
203,11,Quality Inspection,72,false,2025-10-26 00:00:00
204,6,Quality Inspection,111,false,2025-09-01 00:00:00
205,1,Drive Unit Install,64,false,2025-04-23 00:00:00
206,10,Painting,18,false,2025-04-29 00:00:00
207,9,Stamping,100,false,2025-01-26 00:00:00
208,2,Drive Unit Install,116,false,2025-11-05 00:00:00
209,4,Final Assembly,58,false,2025-05-26 00:00:00
210,6,Stamping,54,false,2026-04-26 00:00:00
211,1,Welding,44,false,2025-10-12 00:00:00
212,11,Painting,64,false,2025-02-04 00:00:00
213,8,Stamping,91,false,2025-08-31 00:00:00
214,4,Drive Unit Install,74,false,2025-03-13 00:00:00
215,8,Welding,85,false,2025-08-28 00:00:00
216,11,Final Assembly,34,false,2025-10-26 00:00:00
217,6,Battery Integration,48,false,2025-10-10 00:00:00
218,4,Drive Unit Install,89,false,2025-09-02 00:00:00
219,3,Final Assembly,83,false,2025-08-29 00:00:00
220,3,Quality Inspection,20,false,2026-01-31 00:00:00
221,1,Stamping,77,false,2026-01-10 00:00:00
222,4,Welding,106,false,2025-10-03 00:00:00
223,3,Stamping,57,false,2025-06-16 00:00:00
224,11,Quality Inspection,112,false,2025-01-26 00:00:00
225,3,Painting,47,false,2025-12-29 00:00:00
226,1,Final Assembly,85,false,2025-01-08 00:00:00
227,3,Drive Unit Install,17,false,2026-01-25 00:00:00
228,10,Drive Unit Install,81,false,2025-06-16 00:00:00
229,1,Battery Integration,72,false,2025-03-15 00:00:00
230,6,Battery Integration,66,false,2026-01-20 00:00:00
231,7,Painting,100,false,2026-03-11 00:00:00
232,9,Painting,80,false,2025-07-31 00:00:00
233,6,Quality Inspection,40,false,2026-01-12 00:00:00
234,9,Stamping,18,false,2026-03-25 00:00:00
235,5,Final Assembly,99,false,2025-12-12 00:00:00
236,11,Battery Integration,50,false,2025-01-27 00:00:00
237,5,Final Assembly,34,false,2026-04-20 00:00:00
238,8,Quality Inspection,115,false,2025-06-15 00:00:00
239,8,Painting,22,false,2025-12-22 00:00:00
