id,component_id,quantity,order_date,unit_price_usd,total_cost_usd,shipping_status
1,5,50,2026-03-25 00:00:00,2800.00,140000.00,Delivered
2,14,100,2025-07-03 00:00:00,380.00,38000.00,Shipped
3,6,1000,2025-05-24 00:00:00,3900.00,3900000.00,Pending
4,6,1000,2025-10-07 00:00:00,3900.00,3900000.00,Delivered
5,13,100,2025-06-27 00:00:00,2200.00,220000.00,Delivered
6,3,1000,2025-06-08 00:00:00,4900.00,4900000.00,Delivered
7,14,100,2025-12-25 00:00:00,380.00,38000.00,Pending
8,9,250,2025-04-22 00:00:00,250.00,62500.00,Pending
9,8,1000,2025-10-09 00:00:00,450.00,450000.00,Shipped
10,3,100,2025-06-15 00:00:00,4900.00,490000.00,Delivered
11,14,1000,2025-04-20 00:00:00,380.00,380000.00,Pending
12,10,500,2026-02-16 00:00:00,180.00,90000.00,Delivered
13,3,1000,2025-12-21 00:00:00,4900.00,4900000.00,Pending
14,12,50,2025-04-30 00:00:00,1500.00,75000.00,Delivered
15,9,50,2025-07-11 00:00:00,250.00,12500.00,Delivered
16,5,100,2025-11-03 00:00:00,2800.00,280000.00,Delivered
17,2,100,2026-01-03 00:00:00,6800.00,680000.00,Delivered
18,12,100,2025-07-26 00:00:00,1500.00,150000.00,Pending
19,3,100,2026-01-28 00:00:00,4900.00,490000.00,Shipped
20,3,50,2025-07-09 00:00:00,4900.00,245000.00,Pending
21,9,250,2026-03-26 00:00:00,250.00,62500.00,Pending
22,1,100,2025-08-08 00:00:00,8500.00,850000.00,Delivered
23,1,50,2025-05-19 00:00:00,8500.00,425000.00,Pending
24,5,250,2025-06-21 00:00:00,2800.00,700000.00,Delivered
25,6,250,2026-02-17 00:00:00,3900.00,975000.00,Shipped
26,6,50,2025-07-02 00:00:00,3900.00,195000.00,Shipped
27,7,1000,2025-01-20 00:00:00,1200.00,1200000.00,Pending
28,13,500,2026-01-22 00:00:00,2200.00,1100000.00,Pending
29,3,100,2025-05-12 00:00:00,4900.00,490000.00,Shipped
30,11,250,2025-11-10 00:00:00,800.00,200000.00,Pending
31,4,100,2025-06-05 00:00:00,2400.00,240000.00,Delivered
32,11,250,2025-01-21 00:00:00,800.00,200000.00,Pending
33,13,100,2025-07-12 00:00:00,2200.00,220000.00,Pending
34,11,50,2026-01-11 00:00:00,800.00,40000.00,Delivered
35,3,250,2025-05-19 00:00:00,4900.00,1225000.00,Pending
36,5,1000,2026-01-10 00:00:00,2800.00,2800000.00,Shipped
37,8,100,2025-06-12 00:00:00,450.00,45000.00,Delivered
38,4,100,2025-06-21 00:00:00,2400.00,240000.00,Delivered
39,12,250,2025-02-11 00:00:00,1500.00,375000.00,Pending
40,4,1000,2025-06-08 00:00:00,2400.00,2400000.00,Shipped
41,13,100,2025-05-17 00:00:00,2200.00,220000.00,Delivered
42,14,500,2026-01-26 00:00:00,380.00,190000.00,Pending
43,10,500,2025-11-12 00:00:00,180.00,90000.00,Delivered
44,13,250,2026-01-09 00:00:00,2200.00,550000.00,Delivered
45,7,50,2025-12-22 00:00:00,1200.00,60000.00,Pending
46,13,50,2025-10-23 00:00:00,2200.00,110000.00,Shipped
47,6,250,2025-06-08 00:00:00,3900.00,975000.00,Delivered
48,11,1000,2025-02-08 00:00:00,800.00,800000.00,Delivered
49,2,50,2025-08-11 00:00:00,6800.00,340000.00,Delivered
50,9,500,2025-06-12 00:00:00,250.00,125000.00,Shipped
51,11,100,2025-10-23 00:00:00,800.00,80000.00,Shipped
52,11,250,2025-01-06 00:00:00,800.00,200000.00,Delivered
53,2,50,2025-10-31 00:00:00,6800.00,340000.00,Delivered
54,1,50,2025-09-18 00:00:00,8500.00,425000.00,Pending
55,13,100,2026-03-24 00:00:00,2200.00,220000.00,Delivered
56,6,50,2025-03-02 00:00:00,3900.00,195000.00,Delivered
57,4,50,2026-03-06 00:00:00,2400.00,120000.00,Pending
58,10,100,2025-09-04 00:00:00,180.00,18000.00,Shipped
59,1,1000,2025-04-15 00:00:00,8500.00,8500000.00,Shipped
60,9,1000,2025-05-10 00:00:00,250.00,250000.00,Pending
61,2,1000,2025-09-01 00:00:00,6800.00,6800000.00,Pending
62,2,50,2025-11-05 00:00:00,6800.00,340000.00,Delivered
63,14,250,2025-11-25 00:00:00,380.00,95000.00,Pending
64,6,1000,2025-05-06 00:00:00,3900.00,3900000.00,Shipped
65,6,500,2025-12-20 00:00:00,3900.00,1950000.00,Pending
66,13,250,2025-05-25 00:00:00,2200.00,550000.00,Delivered
67,4,250,2025-06-02 00:00:00,2400.00,600000.00,Delivered
68,8,100,2025-03-31 00:00:00,450.00,45000.00,Delivered
69,8,100,2025-03-04 00:00:00,450.00,45000.00,Pending
70,3,1000,2025-04-22 00:00:00,4900.00,4900000.00,Delivered
71,4,500,2025-03-01 00:00:00,2400.00,1200000.00,Delivered
72,10,100,2025-07-15 00:00:00,180.00,18000.00,Pending
73,3,100,2025-05-12 00:00:00,4900.00,490000.00,Delivered
74,4,500,2025-11-05 00:00:00,2400.00,1200000.00,Shipped
75,12,250,2026-01-24 00:00:00,1500.00,375000.00,Shipped
76,1,50,2026-03-12 00:00:00,8500.00,425000.00,Shipped
77,1,250,2026-01-18 00:00:00,8500.00,2125000.00,Delivered
78,7,500,2025-02-04 00:00:00,1200.00,600000.00,Delivered
79,8,50,2026-01-17 00:00:00,450.00,22500.00,Shipped
80,12,1000,2026-03-03 00:00:00,1500.00,1500000.00,Shipped
81,10,1000,2025-09-09 00:00:00,180.00,180000.00,Delivered
82,12,500,2025-10-15 00:00:00,1500.00,750000.00,Shipped
83,7,100,2025-04-09 00:00:00,1200.00,120000.00,Shipped
84,8,500,2025-08-31 00:00:00,450.00,225000.00,Delivered
85,2,250,2026-03-25 00:00:00,6800.00,1700000.00,Pending
86,12,500,2026-01-05 00:00:00,1500.00,750000.00,Delivered
87,8,100,2026-03-10 00:00:00,450.00,45000.00,Delivered
88,6,250,2025-10-08 00:00:00,3900.00,975000.00,Delivered
89,10,1000,2025-05-01 00:00:00,180.00,180000.00,Delivered
90,10,500,2025-05-02 00:00:00,180.00,90000.00,Shipped
