month,new_users,cumulative_users
2024-01-01 00:00:00-05:00,21,21
2024-02-01 00:00:00-05:00,39,60
2024-03-01 00:00:00-05:00,57,117
2024-04-01 00:00:00-04:00,39,156
2024-05-01 00:00:00-04:00,43,199
2024-06-01 00:00:00-04:00,39,238
2024-07-01 00:00:00-04:00,33,271
2024-08-01 00:00:00-04:00,35,306
2024-09-01 00:00:00-04:00,31,337
2024-10-01 00:00:00-04:00,34,371
2024-11-01 00:00:00-04:00,35,406
2024-12-01 00:00:00-05:00,39,445
2025-01-01 00:00:00-05:00,47,492
2025-02-01 00:00:00-05:00,45,537
2025-03-01 00:00:00-05:00,38,575
2025-04-01 00:00:00-04:00,42,617
2025-05-01 00:00:00-04:00,37,654
2025-06-01 00:00:00-04:00,31,685
2025-07-01 00:00:00-04:00,42,727
2025-08-01 00:00:00-04:00,44,771
2025-09-01 00:00:00-04:00,26,797
2025-10-01 00:00:00-04:00,49,846
2025-11-01 00:00:00-04:00,36,882
2025-12-01 00:00:00-05:00,36,918
2026-01-01 00:00:00-05:00,34,952
2026-02-01 00:00:00-05:00,37,989
2026-03-01 00:00:00-05:00,11,1000
