version,description,installed_on,success,checksum,execution_time
1,users,2026-05-17 00:44:17.670405-04:00,true,<memory at 0x11128b280>,22636125
2,groups,2026-05-17 00:44:17.695732-04:00,true,<memory at 0x11128b340>,11166958
3,group members,2026-05-17 00:44:17.708090-04:00,true,<memory at 0x11128b400>,20225500
4,invites,2026-05-17 00:44:17.728642-04:00,true,<memory at 0x11128b4c0>,13193666
5,approval queue,2026-05-17 00:44:17.742361-04:00,true,<memory at 0x11128b580>,17914750
6,connectors,2026-05-18 16:08:45.426897-04:00,true,<memory at 0x11128b640>,79339792
7,connector resources,2026-05-18 16:08:45.508095-04:00,true,<memory at 0x11128b700>,14978208
8,workspaces,2026-05-24 16:01:36.677645-04:00,true,<memory at 0x11128b7c0>,54154041
9,company brain schema,2026-05-24 22:22:27.874632-04:00,true,<memory at 0x11128b880>,80791167
10,database connectors,2026-05-25 17:49:29.219056-04:00,true,<memory at 0x11128b940>,6580750
